Input: range(79, 94)

seed_to_soil[0] = 0, diff 0
seed_to_soil[1] = 1, diff 0
seed_to_soil[2] = 2, diff 0
seed_to_soil[3] = 3, diff 0
seed_to_soil[4] = 4, diff 0
seed_to_soil[5] = 5, diff 0
seed_to_soil[6] = 6, diff 0
seed_to_soil[7] = 7, diff 0
seed_to_soil[8] = 8, diff 0
seed_to_soil[9] = 9, diff 0
seed_to_soil[10] = 10, diff 0
seed_to_soil[11] = 11, diff 0
seed_to_soil[12] = 12, diff 0
seed_to_soil[13] = 13, diff 0
seed_to_soil[14] = 14, diff 0
seed_to_soil[15] = 15, diff 0
seed_to_soil[16] = 16, diff 0
seed_to_soil[17] = 17, diff 0
seed_to_soil[18] = 18, diff 0
seed_to_soil[19] = 19, diff 0
seed_to_soil[20] = 20, diff 0
seed_to_soil[21] = 21, diff 0
seed_to_soil[22] = 22, diff 0
seed_to_soil[23] = 23, diff 0
seed_to_soil[24] = 24, diff 0
seed_to_soil[25] = 25, diff 0
seed_to_soil[26] = 26, diff 0
seed_to_soil[27] = 27, diff 0
seed_to_soil[28] = 28, diff 0
seed_to_soil[29] = 29, diff 0
seed_to_soil[30] = 30, diff 0
seed_to_soil[31] = 31, diff 0
seed_to_soil[32] = 32, diff 0
seed_to_soil[33] = 33, diff 0
seed_to_soil[34] = 34, diff 0
seed_to_soil[35] = 35, diff 0
seed_to_soil[36] = 36, diff 0
seed_to_soil[37] = 37, diff 0
seed_to_soil[38] = 38, diff 0
seed_to_soil[39] = 39, diff 0
seed_to_soil[40] = 40, diff 0
seed_to_soil[41] = 41, diff 0
seed_to_soil[42] = 42, diff 0
seed_to_soil[43] = 43, diff 0
seed_to_soil[44] = 44, diff 0
seed_to_soil[45] = 45, diff 0
seed_to_soil[46] = 46, diff 0
seed_to_soil[47] = 47, diff 0
seed_to_soil[48] = 48, diff 0
seed_to_soil[49] = 49, diff 0
seed_to_soil[50] = 52, diff 2
seed_to_soil[51] = 53, diff 2
seed_to_soil[52] = 54, diff 2
seed_to_soil[53] = 55, diff 2
seed_to_soil[54] = 56, diff 2
seed_to_soil[55] = 57, diff 2
seed_to_soil[56] = 58, diff 2
seed_to_soil[57] = 59, diff 2
seed_to_soil[58] = 60, diff 2
seed_to_soil[59] = 61, diff 2
seed_to_soil[60] = 62, diff 2
seed_to_soil[61] = 63, diff 2
seed_to_soil[62] = 64, diff 2
seed_to_soil[63] = 65, diff 2
seed_to_soil[64] = 66, diff 2
seed_to_soil[65] = 67, diff 2
seed_to_soil[66] = 68, diff 2
seed_to_soil[67] = 69, diff 2
seed_to_soil[68] = 70, diff 2
seed_to_soil[69] = 71, diff 2
seed_to_soil[70] = 72, diff 2
seed_to_soil[71] = 73, diff 2
seed_to_soil[72] = 74, diff 2
seed_to_soil[73] = 75, diff 2
seed_to_soil[74] = 76, diff 2
seed_to_soil[75] = 77, diff 2
seed_to_soil[76] = 78, diff 2
seed_to_soil[77] = 79, diff 2
seed_to_soil[78] = 80, diff 2
seed_to_soil[79] = 81, diff 2 < range(79, 94) *
seed_to_soil[80] = 82, diff 2
seed_to_soil[81] = 83, diff 2
seed_to_soil[82] = 84, diff 2
seed_to_soil[83] = 85, diff 2
seed_to_soil[84] = 86, diff 2
seed_to_soil[85] = 87, diff 2
seed_to_soil[86] = 88, diff 2
seed_to_soil[87] = 89, diff 2
seed_to_soil[88] = 90, diff 2
seed_to_soil[89] = 91, diff 2
seed_to_soil[90] = 92, diff 2
seed_to_soil[91] = 93, diff 2
seed_to_soil[92] = 94, diff 2
seed_to_soil[93] = 95, diff 2 < range(79, 94) *
seed_to_soil[94] = 96, diff 2
seed_to_soil[95] = 97, diff 2
seed_to_soil[96] = 98, diff 2
seed_to_soil[97] = 99, diff 2
seed_to_soil[98] = 50, diff -48
seed_to_soil[99] = 51, diff -48

soil_to_fertilizer[0] = 39, diff 39
soil_to_fertilizer[1] = 40, diff 39
soil_to_fertilizer[2] = 41, diff 39
soil_to_fertilizer[3] = 42, diff 39
soil_to_fertilizer[4] = 43, diff 39
soil_to_fertilizer[5] = 44, diff 39
soil_to_fertilizer[6] = 45, diff 39
soil_to_fertilizer[7] = 46, diff 39
soil_to_fertilizer[8] = 47, diff 39
soil_to_fertilizer[9] = 48, diff 39
soil_to_fertilizer[10] = 49, diff 39
soil_to_fertilizer[11] = 50, diff 39
soil_to_fertilizer[12] = 51, diff 39
soil_to_fertilizer[13] = 52, diff 39
soil_to_fertilizer[14] = 53, diff 39
soil_to_fertilizer[15] = 0, diff -15
soil_to_fertilizer[16] = 1, diff -15
soil_to_fertilizer[17] = 2, diff -15
soil_to_fertilizer[18] = 3, diff -15
soil_to_fertilizer[19] = 4, diff -15
soil_to_fertilizer[20] = 5, diff -15
soil_to_fertilizer[21] = 6, diff -15
soil_to_fertilizer[22] = 7, diff -15
soil_to_fertilizer[23] = 8, diff -15
soil_to_fertilizer[24] = 9, diff -15
soil_to_fertilizer[25] = 10, diff -15
soil_to_fertilizer[26] = 11, diff -15
soil_to_fertilizer[27] = 12, diff -15
soil_to_fertilizer[28] = 13, diff -15
soil_to_fertilizer[29] = 14, diff -15
soil_to_fertilizer[30] = 15, diff -15
soil_to_fertilizer[31] = 16, diff -15
soil_to_fertilizer[32] = 17, diff -15
soil_to_fertilizer[33] = 18, diff -15
soil_to_fertilizer[34] = 19, diff -15
soil_to_fertilizer[35] = 20, diff -15
soil_to_fertilizer[36] = 21, diff -15
soil_to_fertilizer[37] = 22, diff -15
soil_to_fertilizer[38] = 23, diff -15
soil_to_fertilizer[39] = 24, diff -15
soil_to_fertilizer[40] = 25, diff -15
soil_to_fertilizer[41] = 26, diff -15
soil_to_fertilizer[42] = 27, diff -15
soil_to_fertilizer[43] = 28, diff -15
soil_to_fertilizer[44] = 29, diff -15
soil_to_fertilizer[45] = 30, diff -15
soil_to_fertilizer[46] = 31, diff -15
soil_to_fertilizer[47] = 32, diff -15
soil_to_fertilizer[48] = 33, diff -15
soil_to_fertilizer[49] = 34, diff -15
soil_to_fertilizer[50] = 35, diff -15
soil_to_fertilizer[51] = 36, diff -15
soil_to_fertilizer[52] = 37, diff -15
soil_to_fertilizer[53] = 38, diff -15
soil_to_fertilizer[54] = 54, diff 0
soil_to_fertilizer[55] = 55, diff 0
soil_to_fertilizer[56] = 56, diff 0
soil_to_fertilizer[57] = 57, diff 0
soil_to_fertilizer[58] = 58, diff 0
soil_to_fertilizer[59] = 59, diff 0
soil_to_fertilizer[60] = 60, diff 0
soil_to_fertilizer[61] = 61, diff 0
soil_to_fertilizer[62] = 62, diff 0
soil_to_fertilizer[63] = 63, diff 0
soil_to_fertilizer[64] = 64, diff 0
soil_to_fertilizer[65] = 65, diff 0
soil_to_fertilizer[66] = 66, diff 0
soil_to_fertilizer[67] = 67, diff 0
soil_to_fertilizer[68] = 68, diff 0
soil_to_fertilizer[69] = 69, diff 0
soil_to_fertilizer[70] = 70, diff 0
soil_to_fertilizer[71] = 71, diff 0
soil_to_fertilizer[72] = 72, diff 0
soil_to_fertilizer[73] = 73, diff 0
soil_to_fertilizer[74] = 74, diff 0
soil_to_fertilizer[75] = 75, diff 0
soil_to_fertilizer[76] = 76, diff 0
soil_to_fertilizer[77] = 77, diff 0
soil_to_fertilizer[78] = 78, diff 0
soil_to_fertilizer[79] = 79, diff 0
soil_to_fertilizer[80] = 80, diff 0
soil_to_fertilizer[81] = 81, diff 0 < range(81, 96) *
soil_to_fertilizer[82] = 82, diff 0
soil_to_fertilizer[83] = 83, diff 0
soil_to_fertilizer[84] = 84, diff 0
soil_to_fertilizer[85] = 85, diff 0
soil_to_fertilizer[86] = 86, diff 0
soil_to_fertilizer[87] = 87, diff 0
soil_to_fertilizer[88] = 88, diff 0
soil_to_fertilizer[89] = 89, diff 0
soil_to_fertilizer[90] = 90, diff 0
soil_to_fertilizer[91] = 91, diff 0
soil_to_fertilizer[92] = 92, diff 0
soil_to_fertilizer[93] = 93, diff 0
soil_to_fertilizer[94] = 94, diff 0
soil_to_fertilizer[95] = 95, diff 0 < range(81, 96) *
soil_to_fertilizer[96] = 96, diff 0
soil_to_fertilizer[97] = 97, diff 0
soil_to_fertilizer[98] = 98, diff 0
soil_to_fertilizer[99] = 99, diff 0

fertilizer_to_water[0] = 42, diff 42
fertilizer_to_water[1] = 43, diff 42
fertilizer_to_water[2] = 44, diff 42
fertilizer_to_water[3] = 45, diff 42
fertilizer_to_water[4] = 46, diff 42
fertilizer_to_water[5] = 47, diff 42
fertilizer_to_water[6] = 48, diff 42
fertilizer_to_water[7] = 57, diff 50
fertilizer_to_water[8] = 58, diff 50
fertilizer_to_water[9] = 59, diff 50
fertilizer_to_water[10] = 60, diff 50
fertilizer_to_water[11] = 0, diff -11
fertilizer_to_water[12] = 1, diff -11
fertilizer_to_water[13] = 2, diff -11
fertilizer_to_water[14] = 3, diff -11
fertilizer_to_water[15] = 4, diff -11
fertilizer_to_water[16] = 5, diff -11
fertilizer_to_water[17] = 6, diff -11
fertilizer_to_water[18] = 7, diff -11
fertilizer_to_water[19] = 8, diff -11
fertilizer_to_water[20] = 9, diff -11
fertilizer_to_water[21] = 10, diff -11
fertilizer_to_water[22] = 11, diff -11
fertilizer_to_water[23] = 12, diff -11
fertilizer_to_water[24] = 13, diff -11
fertilizer_to_water[25] = 14, diff -11
fertilizer_to_water[26] = 15, diff -11
fertilizer_to_water[27] = 16, diff -11
fertilizer_to_water[28] = 17, diff -11
fertilizer_to_water[29] = 18, diff -11
fertilizer_to_water[30] = 19, diff -11
fertilizer_to_water[31] = 20, diff -11
fertilizer_to_water[32] = 21, diff -11
fertilizer_to_water[33] = 22, diff -11
fertilizer_to_water[34] = 23, diff -11
fertilizer_to_water[35] = 24, diff -11
fertilizer_to_water[36] = 25, diff -11
fertilizer_to_water[37] = 26, diff -11
fertilizer_to_water[38] = 27, diff -11
fertilizer_to_water[39] = 28, diff -11
fertilizer_to_water[40] = 29, diff -11
fertilizer_to_water[41] = 30, diff -11
fertilizer_to_water[42] = 31, diff -11
fertilizer_to_water[43] = 32, diff -11
fertilizer_to_water[44] = 33, diff -11
fertilizer_to_water[45] = 34, diff -11
fertilizer_to_water[46] = 35, diff -11
fertilizer_to_water[47] = 36, diff -11
fertilizer_to_water[48] = 37, diff -11
fertilizer_to_water[49] = 38, diff -11
fertilizer_to_water[50] = 39, diff -11
